DESTINATION,SOURCE
P.L. 94-171 2020,https://www2.census.gov/programs-surveys/decennial/rdo/about/2020-census-program/Phase3/SupportMaterials/2020_PLSummaryFile_FieldNames.xlsx
SF1 2000,https://api.census.gov/data/2000/dec/sf1/variables.html
SF1 2000,https://api.census.gov/data/2000/dec/sf1/variables.json
SF1 2000,https://www2.census.gov/programs-surveys/decennial/2000/technical-documentation/complete-tech-docs/summary-files/sf1.pdf
SF1 2010,https://api.census.gov/data/2010/dec/sf1/variables.html
SF1 2010,https://api.census.gov/data/2010/dec/sf1/variables.json
SF1 2010,https://www2.census.gov/programs-surveys/decennial/2010/technical-documentation/complete-tech-docs/summary-file/sf1.pdf
SF1 2010,https://www2.census.gov/programs-surveys/decennial/tables/2010/summary-files/sf1-crosswalk.xls
SF3 2000,https://api.census.gov/data/2000/dec/sf3/variables.html
SF3 2000,https://api.census.gov/data/2000/dec/sf3/variables.json
SF3 2000,https://www2.census.gov/programs-surveys/decennial/2000/technical-documentation/complete-tech-docs/summary-files/sf3.pdf
